code,comorbidity
C8330,CANCER_LYMPH
C8331,CANCER_LYMPH
C8332,CANCER_LYMPH
C8333,CANCER_LYMPH
C8334,CANCER_LYMPH
C8335,CANCER_LYMPH
C8336,CANCER_LYMPH
C8337,CANCER_LYMPH
C8338,CANCER_LYMPH
C8339,CANCER_LYMPH
C83390,CANCER_LYMPH
C83398,CANCER_LYMPH
C833A,CANCER_LYMPH
C8350,CANCER_LYMPH
C8351,CANCER_LYMPH
C8352,CANCER_LYMPH
C8353,CANCER_LYMPH
C8354,CANCER_LYMPH
C8355,CANCER_LYMPH
C8356,CANCER_LYMPH
C8357,CANCER_LYMPH
C8358,CANCER_LYMPH
C8359,CANCER_LYMPH
C835A,CANCER_LYMPH
C8370,CANCER_LYMPH
C8371,CANCER_LYMPH
C8372,CANCER_LYMPH
C8373,CANCER_LYMPH
C8374,CANCER_LYMPH
C8375,CANCER_LYMPH
C8376,CANCER_LYMPH
C8377,CANCER_LYMPH
C8378,CANCER_LYMPH
C8379,CANCER_LYMPH
C837A,CANCER_LYMPH
C8380,CANCER_LYMPH
C8381,CANCER_LYMPH
C8382,CANCER_LYMPH
C8383,CANCER_LYMPH
C8384,CANCER_LYMPH
C8385,CANCER_LYMPH
C8386,CANCER_LYMPH
C8387,CANCER_LYMPH
C8388,CANCER_LYMPH
C8389,CANCER_LYMPH
C838A,CANCER_LYMPH
C8390,CANCER_LYMPH
C8391,CANCER_LYMPH
C8392,CANCER_LYMPH
C8393,CANCER_LYMPH
C8394,CANCER_LYMPH
C8395,CANCER_LYMPH
C8396,CANCER_LYMPH
C8397,CANCER_LYMPH
C8398,CANCER_LYMPH
C8399,CANCER_LYMPH
C839A,CANCER_LYMPH
C8400,CANCER_LYMPH
C8401,CANCER_LYMPH
C8402,CANCER_LYMPH
C8403,CANCER_LYMPH
C8404,CANCER_LYMPH
C8405,CANCER_LYMPH
C8406,CANCER_LYMPH
C8407,CANCER_LYMPH
C8408,CANCER_LYMPH
C8409,CANCER_LYMPH
C840A,CANCER_LYMPH
C8410,CANCER_LYMPH
C8411,CANCER_LYMPH
C8412,CANCER_LYMPH
C8413,CANCER_LYMPH
C8414,CANCER_LYMPH
C8415,CANCER_LYMPH
C8416,CANCER_LYMPH
C8417,CANCER_LYMPH
C8418,CANCER_LYMPH
C8419,CANCER_LYMPH
C841A,CANCER_LYMPH
C8440,CANCER_LYMPH
C8441,CANCER_LYMPH
C8442,CANCER_LYMPH
C8443,CANCER_LYMPH
C8444,CANCER_LYMPH
C8445,CANCER_LYMPH
